epoch, trainloss, validationloss, trainRMSE, validationRMSE,kitchenRMSE,livingRMSE
1,0.0664136260747909,0.0818673744797706,0.2577084004878998,0.2861247658729553,0.5344592415704108,0.286124035806344
2,0.0649444535374641,0.0804551839828491,0.2548420131206512,0.2836462259292602,0.5316315452607024,0.2836448840797947
3,0.0635080561041832,0.0790757909417152,0.2520080506801605,0.2812041938304901,0.528837210737285,0.2812023162371687
4,0.0621050857007503,0.0777297392487526,0.249208927154541,0.2788005471229553,0.5260783973625778,0.278798175157252
5,0.0607360005378723,0.0764174982905387,0.246446743607521,0.2764371633529663,0.5233572624965719,0.2764342679150314
6,0.0594011805951595,0.0751393437385559,0.2437235713005066,0.2741155624389648,0.5206758624439656,0.2741122951073424
7,0.0581011213362216,0.0738956704735755,0.2410417348146438,0.2718375921249389,0.5180361044967526,0.27183377817625115
8,0.0568360313773155,0.0726865082979202,0.2384030818939209,0.269604355096817,0.5154398452632075,0.2696001729223453
9,0.055605974048376,0.0715120360255241,0.2358091920614242,0.2674173414707184,0.5128887514702761,0.26741274294450673
10,0.054411094635725,0.0703722313046455,0.2332618534564972,0.2652776539325714,0.510384360159815,0.2652726076138857
11,0.0532513409852981,0.0692668929696083,0.2307625263929367,0.2631860375404358,0.5079280388791527,0.263180714386629
12,0.0521265529096126,0.0681959241628646,0.2283124029636383,0.2611435055732727,0.5055210464910481,0.26113789557377654
13,0.0510366186499595,0.0671590343117713,0.2259128540754318,0.2591505944728851,0.5031644335871108,0.2591447758343268
14,0.0499812476336956,0.0661559998989105,0.223564863204956,0.2572080790996551,0.500859197285349,0.25720192421267246
15,0.0489601679146289,0.0651862621307373,0.2212694436311721,0.2553160190582275,0.4986060230660748,0.2553096149898042
16,0.0479727461934089,0.0642493739724159,0.2190268188714981,0.2534745931625366,0.4964055301054738,0.25346805499680575
17,0.0470185987651348,0.063344806432724,0.2168377190828323,0.2516839504241943,0.49425805962835756,0.25167720766341917
18,0.0460971556603908,0.0624719001352787,0.2147024869918823,0.2499437928199768,0.49216386390367595,0.2499369453662051
19,0.0452078208327293,0.0616299770772457,0.2126213014125824,0.2482538521289825,0.49012297658113557,0.24824694394753907
20,0.0443497858941555,0.0608183480799198,0.210593894124031,0.2466137558221817,0.4881352864020004,0.24660677342196938
21,0.043522372841835,0.060036189854145,0.2086201608180999,0.2450228333473205,0.486200477246839,0.24501580905450854
22,0.0427248105406761,0.0592827089130878,0.2066998034715652,0.2434804141521453,0.4843181038527274,0.24347334213649133
