epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 0.06662318855524063, 0.2856740355491638, 0.25811469554901123, 0.5344848036766052
2, 0.06516093760728836, 0.2826589047908783, 0.255266398191452, 0.5316567420959473
3, 0.06373099237680435, 0.27969491481781006, 0.25244998931884766, 0.5288618803024292
4, 0.06233363598585129, 0.27678388357162476, 0.24966704845428467, 0.5261025428771973
5, 0.06096958741545677, 0.2739273011684418, 0.24692019820213318, 0.5233806371688843
6, 0.059639181941747665, 0.2711271643638611, 0.244211345911026, 0.5206987261772156
7, 0.058342792093753815, 0.26838433742523193, 0.2415425330400467, 0.5180582404136658
8, 0.05708068236708641, 0.26570039987564087, 0.23891563713550568, 0.5154613256454468
9, 0.055852968245744705, 0.26307621598243713, 0.23633232712745667, 0.5129095315933228
10, 0.05465974286198616, 0.2605126202106476, 0.2337942272424698, 0.5104043483734131
11, 0.05350109189748764, 0.25801047682762146, 0.23130303621292114, 0.5079473257064819
12, 0.052376843988895416, 0.2555702030658722, 0.22885987162590027, 0.5055395364761353
13, 0.051286760717630386, 0.253192275762558, 0.22646580636501312, 0.5031821727752686
14, 0.050230804830789566, 0.25087690353393555, 0.2241223007440567, 0.5008761286735535
15, 0.04920840635895729, 0.2486240714788437, 0.22182968258857727, 0.49862217903137207
16, 0.04821942374110222, 0.24643363058567047, 0.2195892184972763, 0.49642083048820496
17, 0.047263216227293015, 0.24430549144744873, 0.21740104258060455, 0.4942726790904999
18, 0.046339258551597595, 0.24223873019218445, 0.21526555716991425, 0.4921775460243225
19, 0.045447058975696564, 0.24023325741291046, 0.21318316459655762, 0.49013596773147583
20, 0.04458581283688545, 0.23828798532485962, 0.2111535221338272, 0.488147497177124
21, 0.04375491291284561, 0.2364022135734558, 0.20917674899101257, 0.4862121045589447
22, 0.04295365884900093, 0.23457454144954681, 0.2072526514530182, 0.484328955411911
23, 0.04218101128935814, 0.23280395567417145, 0.2053801566362381, 0.4824976325035095
24, 0.041436273604631424, 0.2310890257358551, 0.203559011220932, 0.4807172119617462
25, 0.04071854054927826, 0.22942844033241272, 0.20178835093975067, 0.4789868891239166
26, 0.04002678766846657, 0.227820485830307, 0.2000669538974762, 0.47730544209480286
27, 0.03936009854078293, 0.22626321017742157, 0.1983937919139862, 0.47567132115364075
28, 0.03871753066778183, 0.2247551828622818, 0.19676770269870758, 0.4740835130214691
