epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 0.209297776222229, 0.16542096436023712, 0.4574907422065735, 0.40671977400779724
2, 0.14945004880428314, 0.1615980863571167, 0.3865877091884613, 0.40199264883995056
3, 0.1412816047668457, 0.15104490518569946, 0.37587445974349976, 0.3886449635028839
4, 0.13032424449920654, 0.12719957530498505, 0.361004501581192, 0.3566505014896393
5, 0.10775402933359146, 0.11849989742040634, 0.32825908064842224, 0.34423813223838806
6, 0.09851107001304626, 0.11361776292324066, 0.31386473774909973, 0.33707234263420105
7, 0.09678416699171066, 0.10954002290964127, 0.3111015260219574, 0.33096832036972046
8, 0.09531276673078537, 0.10481597483158112, 0.3087276518344879, 0.3237529397010803
9, 0.09491010010242462, 0.10261386632919312, 0.30807483196258545, 0.32033398747444153
10, 0.0935869812965393, 0.10066591203212738, 0.305919885635376, 0.3172789216041565
11, 0.09356746077537537, 0.1040216013789177, 0.30588799715042114, 0.3225238025188446
12, 0.09185706079006195, 0.09855163097381592, 0.3030793070793152, 0.31392934918403625
13, 0.09000740200281143, 0.10249777138233185, 0.30001235008239746, 0.32015272974967957
14, 0.09048023819923401, 0.0938061848282814, 0.30079934000968933, 0.30627796053886414
15, 0.08990022540092468, 0.09935137629508972, 0.29983365535736084, 0.315200537443161
16, 0.08995041996240616, 0.09379242360591888, 0.2999173700809479, 0.3062554895877838
17, 0.0892779678106308, 0.09359509497880936, 0.2987941801548004, 0.3059331476688385
18, 0.08736360818147659, 0.09547552466392517, 0.295573353767395, 0.30899113416671753
19, 0.0893261507153511, 0.09441786259412766, 0.29887479543685913, 0.3072749078273773
20, 0.08917111158370972, 0.0908619835972786, 0.29861533641815186, 0.3014332056045532
21, 0.08710572868585587, 0.09261181950569153, 0.29513680934906006, 0.30432191491127014
22, 0.08853894472122192, 0.09457726031541824, 0.29755493998527527, 0.3075341582298279
23, 0.08759602159261703, 0.08964303135871887, 0.295966237783432, 0.29940447211265564
24, 0.086042620241642, 0.0887044295668602, 0.29333022236824036, 0.2978328764438629
25, 0.08719080686569214, 0.08915591984987259, 0.29528090357780457, 0.29858988523483276
26, 0.08673544228076935, 0.09036839753389359, 0.29450881481170654, 0.3006133735179901
27, 0.08431129902601242, 0.08839917927980423, 0.2903640866279602, 0.29732000827789307
28, 0.08691418170928955, 0.08937132358551025, 0.2948121130466461, 0.2989503741264343
29, 0.08430065959692001, 0.09055987745523453, 0.2903457581996918, 0.3009316921234131
30, 0.08543398231267929, 0.08943160623311996, 0.29229092597961426, 0.2990511655807495
31, 0.08467644453048706, 0.08644462376832962, 0.2909921705722809, 0.29401466250419617
32, 0.0830053836107254, 0.08868224918842316, 0.2881065607070923, 0.2977956533432007
33, 0.0848400890827179, 0.08731678128242493, 0.29127320647239685, 0.2954941391944885
34, 0.08519548922777176, 0.08630193769931793, 0.2918826639652252, 0.2937719225883484
35, 0.08246459811925888, 0.08508016914129257, 0.2871665060520172, 0.2916850447654724
36, 0.0827518031001091, 0.08859249949455261, 0.2876661419868469, 0.2976449131965637
37, 0.08254177123308182, 0.08874164521694183, 0.28730082511901855, 0.2978953719139099
38, 0.08454828709363937, 0.08585602045059204, 0.29077187180519104, 0.29301199316978455
